model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_443,0,1,0.1334912539563785,7413.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_457,0,1,0.11168617789668757,8933.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_47,0,1,0.1509629798690232,2729.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_470,0,0,0.19187693133828398,11584.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_473,0,0,0.0409023785570485,19487.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_492,0,0,0.12887336021206466,14697.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_493,0,1,0.07036946606149912,12761.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_503,0,0,0.11299280443431811,18857.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_512,0,1,0.09156133363753365,14338.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_518,0,0,0.025106153487957895,18894.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_533,0,0,0.11214407315788304,18857.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_77,0,1,0.07707864368216612,2329.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_86,0,1,0.10194231402869261,12136.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_107,0,0,0.42016778378406083,1102.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_111,0,1,0.4507004362681029,702.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_113,0,0,0.2679558002048681,693.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_117,0,1,0.421116234350914,2604.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_12,0,0,0.08182947510531093,19185.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_121,0,1,0.38468792318743694,927.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_124,0,0,0.05008913958483982,19089.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_130,0,0,0.33890586644298115,804.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_139,0,1,0.38193717693627116,735.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_147,0,1,0.32732700863086794,799.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_159,0,0,0.31356523608664855,2703.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_164,0,1,0.1935724898992477,1024.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_176,0,0,0.43309069803409533,1431.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_184,0,1,0.3375234603537132,717.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_195,0,1,0.2776983397496817,862.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_2,0,1,0.18589333811889674,579.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_208,0,0,0.3957910657828768,1675.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_21,0,0,0.32979795315699706,559.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_224,0,1,0.14105133685859628,562.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_227,0,1,0.28106734596623134,872.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_231,0,1,0.3807222890708854,989.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_24,0,1,0.25131341158394466,603.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_25,0,1,0.1961075506570647,625.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_35,0,0,0.5150662429663733,1174.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_41,0,1,0.23989017877995528,632.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_63,0,1,0.3767392586270242,1065.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_67,0,1,0.36651379693174857,8200.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_79,0,0,0.3318787054705437,961.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_8,0,0,0.4207395941043487,553.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_81,0,1,0.19819960865702263,590.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_84,0,0,0.40874613975649754,1353.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_87,0,1,0.19591232496975736,661.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_9,0,1,0.4277374832538794,2081.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_93,0,0,0.4529569209678231,2181.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_94,0,1,0.34709328110169446,781.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_11,0,0,0.3838718623104339,863.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_117,0,1,0.34755298099845927,1175.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_131,0,0,0.450563592747892,3714.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_152,0,0,0.3594730043202547,846.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_156,0,1,0.21723133398729721,498.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_162,0,1,0.16052703076387578,530.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_168,0,1,0.32044625213107175,1710.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_171,0,1,0.17355090293005992,386.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_19,0,0,0.3632952755133259,3500.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_199,0,0,0.4701158888900225,2708.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_208,0,1,0.30199161230449734,843.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_24,0,1,0.20741144843945494,1050.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_246,0,0,0.43743638695618875,3270.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_249,0,1,0.36321373135714213,4150.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_25,0,1,0.24297975980436134,773.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_256,0,1,0.2836786389163483,698.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_259,0,0,0.42839345091279624,2794.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_26,0,1,0.1884773892821486,802.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_266,0,1,0.3556916451320825,1180.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_273,0,1,0.47388991879291525,2199.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_276,0,1,0.395655070603321,815.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_289,0,1,0.42249670914172544,823.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_335,0,1,0.38574017245622055,2424.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_375,0,0,0.35264031126074435,1449.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_39,0,0,0.39893712889007277,1557.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_403,0,1,0.39138948551964337,851.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_419,0,1,0.29359503461783276,961.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_420,0,1,0.36808544461519666,900.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_425,0,1,0.35886923465965576,1329.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Art_Theory_45,0,1,0.3127588108243052,971.0
