benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
GPQA,OpenCode,failure,mean_entropy,24,0,24,0.229143,0.239743,0.089947,0.010497,0.165155,0.297768,0.367653
GPQA,OpenCode,failure,max_entropy,24,0,24,2.557785,2.545962,0.135685,2.289084,2.463490,2.681956,2.792671
GPQA,OpenCode,failure,p50_entropy,24,0,24,0.007384,0.001047,0.014108,0.000001,0.000195,0.006977,0.056797
GPQA,OpenCode,failure,p90_entropy,24,0,24,0.829506,0.908240,0.304743,0.000063,0.673852,1.041132,1.171962
GPQA,OpenCode,failure,n_tokens,24,0,24,18838.708333,10023.000000,27531.505466,1181.000000,5228.000000,16492.500000,133336.000000
GPQA,OpenCode,failure,wall_time_sec,24,0,24,1052.971104,425.500466,2020.786836,45.742059,298.825927,705.720634,9301.774570
GPQA,OpenCode,failure,action_event_count,24,0,24,20.875000,14.500000,30.757536,4.000000,8.750000,19.250000,163.000000
GPQA,OpenCode,failure,tool_call_count,24,0,24,2.041667,1.000000,2.850134,0.000000,0.000000,2.250000,13.000000
GPQA,OpenCode,success,mean_entropy,174,0,174,0.186132,0.188388,0.073356,0.047600,0.126355,0.229918,0.404809
GPQA,OpenCode,success,max_entropy,174,0,174,2.334125,2.389979,0.233814,1.602750,2.212569,2.498037,2.725145
GPQA,OpenCode,success,p50_entropy,174,0,174,0.003614,0.000240,0.011877,0.000002,0.000053,0.000932,0.100492
GPQA,OpenCode,success,p90_entropy,174,0,174,0.703792,0.738462,0.248628,0.014430,0.557674,0.871585,1.232049
GPQA,OpenCode,success,n_tokens,174,0,174,4524.339080,2950.500000,5153.409204,261.000000,1622.250000,5337.000000,37401.000000
GPQA,OpenCode,success,wall_time_sec,174,0,174,225.312210,128.266769,389.236983,16.614707,67.107148,224.240939,3208.294513
GPQA,OpenCode,success,action_event_count,174,0,174,12.293103,12.000000,7.641407,3.000000,8.000000,15.000000,50.000000
GPQA,OpenCode,success,tool_call_count,174,0,174,0.833333,1.000000,1.174848,0.000000,0.000000,1.000000,9.000000
GPQA,ZeroClaw,failure,mean_entropy,27,0,27,0.225302,0.248797,0.107713,0.001876,0.168993,0.280674,0.377423
GPQA,ZeroClaw,failure,max_entropy,27,0,27,2.570125,2.575873,0.128001,2.149771,2.509388,2.642912,2.802304
GPQA,ZeroClaw,failure,p50_entropy,27,0,27,0.010377,0.000862,0.018396,0.000002,0.000126,0.005759,0.065827
GPQA,ZeroClaw,failure,p90_entropy,27,0,27,0.802041,0.947390,0.366621,0.000052,0.689275,1.016475,1.202812
GPQA,ZeroClaw,failure,n_tokens,27,0,27,33595.481481,11980.000000,46898.623744,1568.000000,8887.000000,18854.000000,146338.000000
GPQA,ZeroClaw,failure,wall_time_sec,27,0,27,1368.838528,487.806764,1961.620428,73.139420,326.048282,837.232935,6068.288456
GPQA,ZeroClaw,failure,action_event_count,27,0,27,12.814815,11.000000,5.994053,5.000000,7.500000,17.500000,25.000000
GPQA,ZeroClaw,failure,tool_call_count,27,0,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,ZeroClaw,success,mean_entropy,171,0,171,0.189576,0.185955,0.071798,0.049313,0.136542,0.237403,0.416158
GPQA,ZeroClaw,success,max_entropy,171,0,171,2.485538,2.497093,0.165959,1.942125,2.387832,2.612216,2.815599
GPQA,ZeroClaw,success,p50_entropy,171,0,171,0.002717,0.000200,0.010812,0.000003,0.000043,0.000995,0.123643
GPQA,ZeroClaw,success,p90_entropy,171,0,171,0.718748,0.716100,0.246073,0.021586,0.587580,0.898861,1.230241
GPQA,ZeroClaw,success,n_tokens,171,0,171,5562.573099,3933.000000,5358.979899,822.000000,2289.000000,6843.000000,44320.000000
GPQA,ZeroClaw,success,wall_time_sec,171,0,171,217.495273,153.333689,212.114927,32.075046,97.862077,255.032421,1499.907727
GPQA,ZeroClaw,success,action_event_count,171,0,171,9.976608,9.000000,4.527955,2.000000,7.000000,12.000000,29.000000
GPQA,ZeroClaw,success,tool_call_count,171,0,171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,DirectLLM,failure,mean_entropy,426,0,426,0.255880,0.270835,0.119197,0.001521,0.170427,0.349950,0.511234
HLE,DirectLLM,failure,max_entropy,426,0,426,2.545584,2.542493,0.131588,1.757655,2.457018,2.642619,2.864529
HLE,DirectLLM,failure,p50_entropy,426,0,426,0.017869,0.002047,0.032756,0.000000,0.000125,0.021048,0.199904
HLE,DirectLLM,failure,p90_entropy,426,0,426,0.887296,0.991167,0.375971,0.000021,0.693683,1.160535,1.503583
HLE,DirectLLM,failure,n_tokens,426,0,426,13579.704225,7078.500000,21698.602636,536.000000,4190.250000,11721.750000,116410.000000
HLE,DirectLLM,failure,wall_time_sec,426,0,426,1646.347768,976.961685,2248.456948,60.000455,543.910017,1538.887324,9008.946330
