harness,correct,from_action,to_action,n_transitions,probability,total_from_source
zeroclaw,True,plan,plan,30,0.1271,236
zeroclaw,True,plan,reason,183,0.7754,236
zeroclaw,True,plan,verify,4,0.0169,236
zeroclaw,True,reason,__END__,35,0.0167,2093
zeroclaw,True,reason,answer,62,0.0296,2093
zeroclaw,True,reason,plan,180,0.086,2093
zeroclaw,True,reason,reason,1703,0.8137,2093
zeroclaw,True,reason,verify,113,0.054,2093
zeroclaw,True,verify,__END__,47,0.3534,133
zeroclaw,True,verify,answer,4,0.0301,133
zeroclaw,True,verify,plan,10,0.0752,133
zeroclaw,True,verify,reason,65,0.4887,133
zeroclaw,True,verify,verify,7,0.0526,133
