model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,GPQA,gpqa_135,0,0,0.21142315524420963,13121
Gemma4-31B,directllm,GPQA,gpqa_136,0,1,0.21759001884231308,7845
Gemma4-31B,directllm,GPQA,gpqa_137,0,1,0.17348265706818014,7563
Gemma4-31B,directllm,GPQA,gpqa_138,0,1,0.25617324228037164,2141
Gemma4-31B,directllm,GPQA,gpqa_139,0,1,0.1878942945227177,6115
Gemma4-31B,directllm,GPQA,gpqa_14,0,1,0.3325996803847018,4561
Gemma4-31B,directllm,GPQA,gpqa_140,0,1,0.2222542348952118,8153
Gemma4-31B,directllm,GPQA,gpqa_141,0,1,0.3007696212496236,5387
Gemma4-31B,directllm,GPQA,gpqa_142,0,1,0.15199057976792418,16772
Gemma4-31B,directllm,GPQA,gpqa_143,0,0,0.17710988116625526,14026
Gemma4-31B,directllm,GPQA,gpqa_144,0,1,0.2540948870619334,3988
Gemma4-31B,directllm,GPQA,gpqa_145,0,1,0.2827258250799505,4999
Gemma4-31B,directllm,GPQA,gpqa_146,0,1,0.2494648298886697,4285
Gemma4-31B,directllm,GPQA,gpqa_147,0,1,0.1537917420809768,2621
Gemma4-31B,directllm,GPQA,gpqa_148,0,1,0.13786815774971126,4337
Gemma4-31B,directllm,GPQA,gpqa_149,0,0,0.12987413096841013,12031
Gemma4-31B,directllm,GPQA,gpqa_15,0,1,0.2534162176838659,3393
Gemma4-31B,directllm,GPQA,gpqa_150,0,1,0.13404263802356559,4551
Gemma4-31B,directllm,GPQA,gpqa_151,0,1,0.15361822160825434,3032
Gemma4-31B,directllm,GPQA,gpqa_152,0,1,0.1745179487680534,3556
Gemma4-31B,directllm,GPQA,gpqa_153,0,1,0.3352856758496467,2193
Gemma4-31B,directllm,GPQA,gpqa_154,0,1,0.11083163266744374,9864
Gemma4-31B,directllm,GPQA,gpqa_155,0,1,0.14782658424084918,4458
Gemma4-31B,directllm,GPQA,gpqa_156,0,1,0.13124593885970173,3347
Gemma4-31B,directllm,GPQA,gpqa_157,0,1,0.2001407054572444,2000
Gemma4-31B,directllm,GPQA,gpqa_158,0,1,0.2643379855211754,6340
Gemma4-31B,directllm,GPQA,gpqa_159,0,1,0.1372300811548115,3763
Gemma4-31B,directllm,GPQA,gpqa_16,0,1,0.20304610143017762,2065
Gemma4-31B,directllm,GPQA,gpqa_160,0,1,0.07764752045570253,8811
Gemma4-31B,directllm,GPQA,gpqa_161,0,1,0.16579367091255567,10186
Gemma4-31B,directllm,GPQA,gpqa_162,0,1,0.11393233097750802,6427
Gemma4-31B,directllm,GPQA,gpqa_163,0,1,0.1401975494916945,7799
Gemma4-31B,directllm,GPQA,gpqa_164,0,1,0.10378789200812322,3738
Gemma4-31B,directllm,GPQA,gpqa_165,0,1,0.17429467935959422,4961
Gemma4-31B,directllm,GPQA,gpqa_166,0,1,0.06913172776813793,3318
Gemma4-31B,directllm,GPQA,gpqa_167,0,1,0.14586403641348472,4044
Gemma4-31B,directllm,GPQA,gpqa_168,0,1,0.1254481681272291,9076
Gemma4-31B,directllm,GPQA,gpqa_169,0,1,0.3586415746694019,1864
Gemma4-31B,directllm,GPQA,gpqa_17,0,1,0.14554287626145707,3478
Gemma4-31B,directllm,GPQA,gpqa_170,0,1,0.15393534348311388,5222
Gemma4-31B,directllm,GPQA,gpqa_171,0,1,0.1399503450835235,3624
Gemma4-31B,directllm,GPQA,gpqa_172,0,1,0.1329360246504356,8227
Gemma4-31B,directllm,GPQA,gpqa_173,0,1,0.12024348931590792,13374
Gemma4-31B,directllm,GPQA,gpqa_174,0,1,0.1466344782441557,9903
Gemma4-31B,directllm,GPQA,gpqa_175,0,1,0.15039355226453896,2400
Gemma4-31B,directllm,GPQA,gpqa_176,0,1,0.14556977522944078,6478
Gemma4-31B,directllm,GPQA,gpqa_177,0,1,0.14144363428623877,2843
Gemma4-31B,directllm,GPQA,gpqa_178,0,1,0.16911706305420435,9012
Gemma4-31B,directllm,GPQA,gpqa_179,0,1,0.08547315500930477,3491
Gemma4-31B,directllm,GPQA,gpqa_18,0,0,0.024528333491101263,95862
Gemma4-31B,directllm,GPQA,gpqa_180,0,1,0.08356741672737987,1768
Gemma4-31B,directllm,GPQA,gpqa_181,0,1,0.07633083308148816,2400
Gemma4-31B,directllm,GPQA,gpqa_182,0,1,0.0863243000987063,4364
Gemma4-31B,directllm,GPQA,gpqa_183,0,1,0.06700251111739935,5161
